lang_code,en_name,direction,local_name
aa,Afar,ltr,Afar
ab,Abkhazian,ltr,Аҧсуа
af,Afrikaans,ltr,Afrikaans
ak,Akan,ltr,Akana
am,Amharic,ltr,አማርኛ
an,Aragonese,ltr,Aragonés
ar,Arabic,rtl,العربية
as,Assamese,ltr,অসমীয়া
av,Avar,ltr,Авар
ay,Aymara,ltr,Aymar
az,Azerbaijani,ltr,آذربايجان
ba,Bashkir,ltr,Башҡорт
be,Belarusian,ltr,Беларуская
bg,Bulgarian,ltr,Български
bh,Bihari,ltr,भोजपुरी
bi,Bislama,ltr,Bislama
bm,Bambara,ltr,Bamanankan
bn,Bengali,ltr,বাংলা
bo,Tibetan,ltr,བོད་ཡིག
br,Breton,ltr,Brezhoneg
bs,Bosnian,ltr,Bosanski
ca,Catalan,ltr,Català
cdo,Min Dong Chinese,ltr,閩東語
ce,Chechen,ltr,Нохчийн
ch,Chamorro,ltr,Chamoru
co,Corsican,ltr,Corsu
cr,Cree,ltr,Nehiyaw
cs,Czech,ltr,Česky
cv,Chuvash,ltr,Чăваш
cy,Welsh,ltr,Cymraeg
da,Danish,ltr,Dansk
de,German,ltr,Deutsch
dz,Dzongkha,ltr,ཇོང་ཁ
ee,Ewe,ltr,Ɛʋɛ
fa,Farsi,rtl,فارسی
fa_AF,Dari,rtl,دری
el,Greek,ltr,Ελληνικά
en,English,ltr,English
eo,Esperanto,ltr,Esperanto
es,Spanish,ltr,Español
et,Estonian,ltr,Eesti
eu,Basque,ltr,Euskara
ff,Peul,ltr,Fulfulde
fi,Finnish,ltr,Suomi
fj,Fijian,ltr,Na Vosa Vakaviti
fo,Faroese,ltr,Føroyskt
fr,French,ltr,Français
fy,West Frisian,ltr,Frysk
ga,Irish,ltr,Gaeilge
gan,Gan Chinese,ltr,贛語
gd,Scottish Gaelic,ltr,Gàidhlig
gl,Galician,ltr,Galego
gn,Guarani,ltr,Avañe'ẽ
gu,Gujarati,ltr,ગુજરાતી
gv,Manx,ltr,Gaelg
ha,Hausa,rtl,هَوُسَ
he,Hebrew,rtl,עברית
hi,Hindi,ltr,हिन्दी
ho,Hiri Motu,ltr,Hiri Motu
hr,Croatian,ltr,Hrvatski
ht,Haitian,ltr,Krèyol ayisyen
hu,Hungarian,ltr,Magyar
hy,Armenian,ltr,Հայերեն
hz,Herero,ltr,Otsiherero
ia,Interlingua,ltr,Interlingua
id,Indonesian,ltr,Bahasa Indonesia
ie,Interlingue,ltr,Interlingue
ig,Igbo,ltr,Igbo
ii,Sichuan Yi,ltr,四川彝语
ik,Inupiak,ltr,Iñupiak
io,Ido,ltr,Ido
is,Icelandic,ltr,Íslenska
it,Italian,ltr,Italiano
iu,Inuktitut,ltr,ᐃᓄᒃᑎᑐᑦ
ja,Japanese,ltr,日本語
jv,Javanese,ltr,Basa Jawa
ka,Georgian,ltr,ქართული
kg,Kongo,ltr,KiKongo
ki,Kikuyu,ltr,Gĩkũyũ
kj,Kuanyama,ltr,Kuanyama
kk,Kazakh,ltr,Қазақша
kl,Greenlandic,ltr,Kalaallisut
km,Cambodian,ltr,ភាសាខ្មែរ
kn,Kannada,ltr,ಕನ್ನಡ
ko,Korean,ltr,한국어
kr,Kanuri,ltr,Kanuri
ks,Kashmiri,rtl,كشميري
ku,Kurdish,rtl,كوردی
kv,Komi,ltr,Коми
